epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6385,4.67428,6.44723,0.14426,0.41712,0.50696,0.33194,0.08024,3.49046,6.40386,0.04317,0.000241071,0.000241071,0.0680982
2,68.6791,2.24223,2.20489,0.04081,0.58978,0.64578,0.66142,0.17591,2.1923,4.36836,0.04855,0.00048783,0.00048783,0.0350116
3,96.366,2.37124,2.19039,0.05334,0.2392,0.41928,0.2066,0.03305,3.08725,3.35274,0.10017,0.000731289,0.000731289,0.00192177
4,120.982,2.31811,2.11566,0.0497,0.61389,0.79759,0.74005,0.23659,1.98063,2.27864,0.05539,0.00073515,0.00073515,0.00073515
5,152.514,1.86332,2.01105,0.03914,0.58112,0.69639,0.6428,0.19126,2.44584,2.17298,0.07349,0.0007302,0.0007302,0.0007302
6,177.268,2.08821,2.06751,0.04741,0.72404,0.76867,0.76923,0.24844,2.59762,2.35003,0.07439,0.00072525,0.00072525,0.00072525
7,206.109,1.65928,1.90541,0.03448,0.58851,0.76867,0.61418,0.19715,1.93939,1.88427,0.05027,0.0007203,0.0007203,0.0007203
8,232.957,1.64736,1.86945,0.03249,0.72239,0.85276,0.80685,0.34277,1.63126,2.05462,0.03154,0.00071535,0.00071535,0.00071535
9,263.744,1.58235,1.86495,0.02747,0.78521,0.81687,0.8805,0.43898,1.41467,1.70977,0.02314,0.0007104,0.0007104,0.0007104
10,294.251,1.43187,1.65765,0.02371,0.81576,0.80241,0.89524,0.45118,1.39418,1.56917,0.0256,0.00070545,0.00070545,0.00070545
11,322.889,1.33823,1.50239,0.02022,0.8615,0.85434,0.9383,0.48089,1.3097,1.51808,0.02142,0.0007005,0.0007005,0.0007005
12,353.263,1.40603,1.5392,0.02133,0.72491,0.90361,0.87634,0.46055,1.43736,1.54068,0.02625,0.00069555,0.00069555,0.00069555
13,378.277,1.32847,1.38174,0.01839,0.81929,0.94458,0.93501,0.51782,1.56116,1.35467,0.03013,0.0006906,0.0006906,0.0006906
14,408.992,1.39633,1.3677,0.02191,0.81647,0.88973,0.91855,0.46823,1.32762,1.34274,0.02638,0.00068565,0.00068565,0.00068565
15,435.722,1.28974,1.30354,0.0186,0.9213,0.87952,0.96127,0.53258,1.30463,1.25267,0.02024,0.0006807,0.0006807,0.0006807
16,464.055,1.39977,1.213,0.02208,0.8809,0.89112,0.94537,0.50978,1.33944,1.18215,0.01896,0.00067575,0.00067575,0.00067575
17,489.029,1.33502,1.23571,0.01939,0.89215,0.89696,0.96342,0.53392,1.35767,1.11504,0.0224,0.0006708,0.0006708,0.0006708
18,518.393,1.34024,1.1151,0.01956,0.91238,0.87711,0.9637,0.53442,1.31403,1.05663,0.01883,0.00066585,0.00066585,0.00066585
19,545.127,1.4023,1.11348,0.02015,0.88614,0.90843,0.94874,0.51321,1.39228,1.21967,0.02063,0.0006609,0.0006609,0.0006609
20,572.859,1.32342,1.05511,0.01731,0.90792,0.92656,0.96735,0.55795,1.40301,1.0646,0.02127,0.00065595,0.00065595,0.00065595
21,643.544,1.24632,1.07945,0.01493,0.91299,0.91027,0.95671,0.53161,1.21476,1.18285,0.01934,0.000651,0.000651,0.000651
22,680.051,1.21725,1.13881,0.01573,0.91572,0.90602,0.95654,0.52348,1.19788,1.18329,0.01967,0.00064605,0.00064605,0.00064605
23,741.234,1.17655,1.04655,0.01422,0.94648,0.94458,0.9779,0.57249,1.2076,1.06559,0.01825,0.0006411,0.0006411,0.0006411
24,808.65,1.21219,1.03811,0.01536,0.93792,0.91015,0.96064,0.52676,1.30547,1.07901,0.02218,0.00063615,0.00063615,0.00063615
25,843.934,1.30611,1.11698,0.01711,0.94483,0.93253,0.96631,0.54914,1.26438,1.00834,0.01968,0.0006312,0.0006312,0.0006312
26,909.22,1.23498,0.99661,0.01577,0.96164,0.95422,0.9714,0.5626,1.30614,0.93505,0.01771,0.00062625,0.00062625,0.00062625
27,939.229,1.27393,1.05067,0.01573,0.9551,0.94699,0.97608,0.55268,1.32557,0.99193,0.01924,0.0006213,0.0006213,0.0006213
28,969.306,1.25873,1.03756,0.01633,0.90992,0.94924,0.94461,0.53215,1.23246,1.12209,0.01609,0.00061635,0.00061635,0.00061635
29,1029.77,1.24055,1.04144,0.01599,0.94045,0.9494,0.96444,0.56269,1.23127,0.98048,0.01746,0.0006114,0.0006114,0.0006114
30,1070.12,1.21978,0.94263,0.01534,0.95149,0.94526,0.96881,0.57694,1.31853,0.92089,0.02249,0.00060645,0.00060645,0.00060645
31,1123.86,1.35268,1.00423,0.01872,0.93196,0.95709,0.97113,0.56697,1.33179,0.99704,0.02401,0.0006015,0.0006015,0.0006015
32,1190.52,1.26534,0.99148,0.0177,0.93337,0.94699,0.96169,0.54768,1.28285,0.98876,0.0189,0.00059655,0.00059655,0.00059655
33,1225.29,1.25463,0.93402,0.01513,0.95103,0.96386,0.96966,0.56492,1.25783,0.95541,0.01705,0.0005916,0.0005916,0.0005916
34,1289.96,1.25141,0.93371,0.01498,0.94922,0.96867,0.97113,0.56542,1.29121,0.97219,0.01682,0.00058665,0.00058665,0.00058665
35,1321.45,1.20408,0.89192,0.01327,0.94338,0.97349,0.97203,0.58368,1.20838,1.04037,0.01626,0.0005817,0.0005817,0.0005817
36,1385.18,1.27601,0.94094,0.0152,0.91994,0.96903,0.94851,0.48645,1.47673,1.0238,0.02362,0.00057675,0.00057675,0.00057675
37,1426.16,1.32001,0.95011,0.01674,0.92896,0.97676,0.9653,0.5643,1.4394,0.959,0.0283,0.0005718,0.0005718,0.0005718
38,1473.43,1.38177,0.95935,0.0204,0.93686,0.96867,0.96982,0.56797,1.3871,0.95418,0.02524,0.00056685,0.00056685,0.00056685
39,1538.96,1.35193,0.93115,0.01908,0.95589,0.97349,0.97301,0.57418,1.23007,0.91299,0.01905,0.0005619,0.0005619,0.0005619
40,1567.58,1.21051,0.87038,0.01581,0.92745,0.98313,0.97375,0.55619,1.4325,0.90074,0.02409,0.00055695,0.00055695,0.00055695
41,1627.13,1.25558,0.9162,0.01738,0.92835,0.98313,0.97719,0.57551,1.26477,0.88056,0.01687,0.000552,0.000552,0.000552
42,1658.28,1.18301,0.87314,0.01409,0.95102,0.98261,0.98123,0.58338,1.29224,0.91315,0.01734,0.00054705,0.00054705,0.00054705
43,1694.93,1.27914,0.83265,0.01796,0.96201,0.99036,0.98535,0.5925,1.27623,0.8428,0.01761,0.0005421,0.0005421,0.0005421
44,1768.42,1.19296,0.82546,0.0149,0.95356,0.99518,0.98729,0.59936,1.22454,0.91546,0.0184,0.00053715,0.00053715,0.00053715
45,1836.03,1.18812,0.83502,0.01469,0.94553,0.98072,0.97555,0.58173,1.22735,0.9173,0.01794,0.0005322,0.0005322,0.0005322
46,1861.22,1.18081,0.79132,0.01285,0.9332,0.97616,0.96164,0.56325,1.26322,0.88237,0.01874,0.00052725,0.00052725,0.00052725
47,1890.76,1.19221,0.73692,0.01345,0.93095,0.98554,0.96482,0.57138,1.22969,0.90276,0.01721,0.0005223,0.0005223,0.0005223
48,1949.27,1.19733,0.73734,0.01378,0.93756,0.99277,0.97182,0.59783,1.20253,0.7878,0.01374,0.00051735,0.00051735,0.00051735
49,1986.66,1.23242,0.74688,0.01434,0.96049,0.98795,0.97792,0.57984,1.33028,0.8174,0.01575,0.0005124,0.0005124,0.0005124
50,2045.01,1.31961,0.73687,0.01696,0.95794,0.98774,0.97939,0.57282,1.40866,0.81843,0.01687,0.00050745,0.00050745,0.00050745
51,2086.49,1.22138,0.75371,0.01488,0.94906,0.96867,0.98205,0.59473,1.30582,0.79021,0.01413,0.0005025,0.0005025,0.0005025
52,2114.42,1.25153,0.75275,0.01432,0.88774,0.9759,0.95878,0.50619,1.53377,0.94778,0.02153,0.00049755,0.00049755,0.00049755
53,2175.01,1.3013,0.77308,0.0159,0.93184,0.99277,0.98308,0.57612,1.44023,0.79894,0.02735,0.0004926,0.0004926,0.0004926
54,2225.64,1.35026,0.79586,0.0169,0.93867,0.99759,0.98365,0.60014,1.4119,0.75642,0.02416,0.00048765,0.00048765,0.00048765
55,2284.9,1.27561,0.72389,0.01325,0.94917,0.99277,0.98048,0.58615,1.2591,0.80564,0.01609,0.0004827,0.0004827,0.0004827
56,2341.69,1.18471,0.69523,0.01206,0.94616,0.99518,0.97893,0.58253,1.26865,0.86472,0.01465,0.00047775,0.00047775,0.00047775
57,2370.93,1.16803,0.7178,0.01255,0.95379,0.99481,0.98336,0.60026,1.24214,0.79281,0.01518,0.0004728,0.0004728,0.0004728
58,2435.91,1.12824,0.67779,0.01224,0.95576,0.99277,0.98206,0.58952,1.25792,0.76047,0.01653,0.00046785,0.00046785,0.00046785
59,2473.84,1.11925,0.64376,0.01073,0.95855,0.98795,0.97817,0.59392,1.14903,0.75601,0.01241,0.0004629,0.0004629,0.0004629
60,2504.49,1.15331,0.64233,0.01184,0.9648,0.99065,0.97393,0.59172,1.18872,0.73226,0.01433,0.00045795,0.00045795,0.00045795
61,2534.81,1.13819,0.6669,0.01171,0.9576,0.99036,0.97541,0.5802,1.36235,0.76984,0.01965,0.000453,0.000453,0.000453
62,2602.52,1.1648,0.62172,0.01225,0.96265,0.9938,0.97448,0.5894,1.2739,0.74416,0.01526,0.00044805,0.00044805,0.00044805
63,2654.32,1.10231,0.60142,0.01076,0.96053,0.9969,0.97529,0.57639,1.25917,0.70562,0.0144,0.0004431,0.0004431,0.0004431
64,2694.8,1.1291,0.62476,0.01147,0.96438,0.99036,0.97258,0.58963,1.29304,0.71993,0.01657,0.00043815,0.00043815,0.00043815
65,2736.4,1.15769,0.64954,0.01237,0.94767,0.98313,0.95134,0.5283,1.41389,0.80712,0.01939,0.0004332,0.0004332,0.0004332
66,2772.8,1.16988,0.64951,0.01278,0.95799,0.98795,0.96733,0.55109,1.35299,0.80026,0.01883,0.00042825,0.00042825,0.00042825
67,2807.16,1.15359,0.65865,0.01124,0.96262,0.99275,0.9713,0.60053,1.29048,0.68207,0.01398,0.0004233,0.0004233,0.0004233
68,2881.05,1.13975,0.65546,0.01126,0.94909,0.98836,0.96739,0.56531,1.31955,0.69732,0.01416,0.00041835,0.00041835,0.00041835
69,2942.4,1.14774,0.62735,0.01035,0.94501,0.99381,0.97286,0.58185,1.29533,0.70629,0.01404,0.0004134,0.0004134,0.0004134
70,3003.41,1.12748,0.60024,0.0115,0.94512,0.99036,0.97674,0.6138,1.25732,0.61497,0.0147,0.00040845,0.00040845,0.00040845
71,3075.76,1.07428,0.60966,0.01016,0.9452,0.99744,0.97606,0.62132,1.24435,0.68726,0.01263,0.0004035,0.0004035,0.0004035
72,3143.73,1.14696,0.62289,0.01096,0.94609,0.97266,0.9529,0.52756,1.59621,0.84522,0.01463,0.00039855,0.00039855,0.00039855
73,3186.26,1.24929,0.678,0.01087,0.94554,0.98072,0.95684,0.5649,1.4527,0.74854,0.01362,0.0003936,0.0003936,0.0003936
74,3247.55,1.12447,0.58093,0.01009,0.96179,0.99277,0.97274,0.59985,1.31828,0.69312,0.0131,0.00038865,0.00038865,0.00038865
75,3283.63,1.17139,0.61041,0.01049,0.96637,0.99277,0.97326,0.60258,1.27732,0.67209,0.01368,0.0003837,0.0003837,0.0003837
76,3345.25,1.09638,0.55132,0.01036,0.94664,0.98326,0.97122,0.58947,1.27385,0.68011,0.01358,0.00037875,0.00037875,0.00037875
77,3374.81,1.07814,0.59833,0.01005,0.94408,0.97631,0.95292,0.54648,1.30888,0.71562,0.01418,0.0003738,0.0003738,0.0003738
78,3431.94,1.10128,0.5924,0.01037,0.94886,0.98354,0.96478,0.56099,1.27795,0.66085,0.01432,0.00036885,0.00036885,0.00036885
79,3467.08,1.068,0.5297,0.00975,0.9613,0.99518,0.9746,0.61197,1.2017,0.64153,0.01368,0.0003639,0.0003639,0.0003639
80,3507.15,1.07663,0.52367,0.00993,0.94765,0.99518,0.97466,0.60508,1.3086,0.56732,0.01672,0.00035895,0.00035895,0.00035895
81,3563.4,1.09602,0.57107,0.0114,0.94027,0.98621,0.9692,0.56583,1.37431,0.70427,0.01312,0.000354,0.000354,0.000354
82,3619.75,1.0867,0.53704,0.0097,0.94486,0.99103,0.97258,0.56573,1.3477,0.68485,0.01247,0.00034905,0.00034905,0.00034905
83,3675.17,1.10351,0.51922,0.01131,0.95954,0.99277,0.97741,0.60043,1.30997,0.62788,0.01658,0.0003441,0.0003441,0.0003441
84,3715.06,1.08434,0.52194,0.01184,0.95529,0.99277,0.97582,0.5957,1.26572,0.65413,0.01549,0.00033915,0.00033915,0.00033915
85,3770.55,1.04935,0.55025,0.01006,0.94909,0.98827,0.96766,0.58094,1.35795,0.70054,0.01506,0.0003342,0.0003342,0.0003342
86,3805.77,1.09951,0.55514,0.01247,0.94239,0.98554,0.96608,0.55597,1.42518,0.74918,0.01636,0.00032925,0.00032925,0.00032925
87,3849.47,1.06696,0.5418,0.01145,0.94902,0.98689,0.96801,0.57286,1.34548,0.66387,0.01443,0.0003243,0.0003243,0.0003243
88,3902.06,1.02432,0.52376,0.01008,0.96061,0.99759,0.9819,0.60777,1.25102,0.57896,0.01366,0.00031935,0.00031935,0.00031935
89,3956.09,1.02222,0.51059,0.01017,0.96033,0.99518,0.97973,0.59297,1.23434,0.55731,0.01249,0.0003144,0.0003144,0.0003144
90,3991.05,1.0126,0.49481,0.00993,0.96624,0.99277,0.98011,0.58357,1.27001,0.59887,0.01275,0.00030945,0.00030945,0.00030945
91,4046.04,1.08895,0.50257,0.0139,0.9603,0.99075,0.97713,0.56688,1.37227,0.65354,0.01567,0.0003045,0.0003045,0.0003045
92,4088.53,1.06179,0.53613,0.01175,0.96089,0.99036,0.97656,0.58083,1.32017,0.63407,0.01325,0.00029955,0.00029955,0.00029955
93,4123.66,1.04859,0.53359,0.01127,0.95336,0.9851,0.97346,0.57148,1.34539,0.64223,0.01381,0.0002946,0.0002946,0.0002946
94,4193.1,1.06733,0.50366,0.01217,0.9466,0.98237,0.95935,0.55369,1.37032,0.64076,0.01446,0.00028965,0.00028965,0.00028965
95,4244.05,1.05407,0.48757,0.01097,0.95327,0.98313,0.96561,0.56716,1.31128,0.57308,0.01362,0.0002847,0.0002847,0.0002847
96,4283.49,1.00825,0.48244,0.00943,0.9626,0.99229,0.97126,0.59715,1.25005,0.4945,0.01316,0.00027975,0.00027975,0.00027975
97,4323.8,1.03134,0.48945,0.00923,0.95575,0.98877,0.971,0.58938,1.30201,0.52487,0.01465,0.0002748,0.0002748,0.0002748
98,4353.49,1.0257,0.47165,0.01023,0.94888,0.98795,0.97116,0.56613,1.34057,0.56028,0.01493,0.00026985,0.00026985,0.00026985
99,4410.9,1.0047,0.51799,0.00916,0.94196,0.97761,0.95225,0.54309,1.34097,0.63978,0.01315,0.0002649,0.0002649,0.0002649
100,4453.88,0.97822,0.46267,0.00867,0.95563,0.99036,0.97363,0.5873,1.27532,0.55224,0.01334,0.00025995,0.00025995,0.00025995
101,4515.22,1.07077,0.46459,0.01022,0.96004,0.99277,0.97224,0.57463,1.33852,0.56193,0.01391,0.000255,0.000255,0.000255
